,name,album,id,valence,tempo,speechiness,acousticness,liveness,key,duration_ms,time_signature,loudness,energy,mode,danceability,instrumentalness,uri,Generation
0,one way (intro),one way,21hEyYl94GoJ6CzC2VzIAd,0.115,96.079,0.364,0.337,0.19,9.0,80507.0,4.0,-3.796,0.995,1,0.693,0.0,spotify:track:21hEyYl94GoJ6CzC2VzIAd,First Generation
1,do you know me?,one way,0JgTAydWjvn4v6JUCFPojN,0.867,95.055,0.185,0.193,0.184,6.0,203547.0,4.0,-2.28,0.689,1,0.787,0.0,spotify:track:0JgTAydWjvn4v6JUCFPojN,First Generation
2,어쩔겁니까?,one way,4BbQnwsJRxdY6JoQXKEjoQ,0.964,98.008,0.174,0.0697,0.104,8.0,229227.0,4.0,-4.927,0.854,1,0.841,5.51e-05,spotify:track:4BbQnwsJRxdY6JoQXKEjoQ,First Generation
3,how many times,one way,3DiAET3masyhbuVkBxUa6s,0.787,141.988,0.0357,0.0685,0.102,1.0,265547.0,4.0,-4.762,0.78,1,0.812,0.0,spotify:track:3DiAET3masyhbuVkBxUa6s,First Generation
4,위험해,one way,2pWOkP8NGFklWAFiwxq9jf,0.665,85.012,0.192,0.00341,0.0478,1.0,219293.0,4.0,-6.343,0.883,1,0.823,0.0,spotify:track:2pWOkP8NGFklWAFiwxq9jf,First Generation
5,summer night (feat. 이영현),one way,2c9kofBYZlOXhHkrVAohq4,0.895,114.957,0.106,0.118,0.352,0.0,198747.0,4.0,-5.104,0.833,1,0.887,0.0,spotify:track:2c9kofBYZlOXhHkrVAohq4,First Generation
6,can't let u go,one way,0iQpED1pXSberXW7KgSSVo,0.434,83.886,0.322,0.37,0.167,7.0,215653.0,4.0,-5.666,0.584,1,0.642,0.0,spotify:track:0iQpED1pXSberXW7KgSSVo,First Generation
7,take it slow (danny solo),one way,2R2kvWiFCuO1bJ8eAn40IE,0.738,126.042,0.0604,0.307,0.0897,7.0,235480.0,4.0,-7.347,0.535,0,0.756,0.0,spotify:track:2R2kvWiFCuO1bJ8eAn40IE,First Generation
8,supa funk (song baek kyoung solo),one way,3CfVTuvjjBe5UixUdboZMu,0.949,184.081,0.171,0.0723,0.0879,7.0,230760.0,4.0,-4.097,0.842,1,0.628,0.0,spotify:track:3CfVTuvjjBe5UixUdboZMu,First Generation
9,get them hands up,one way,535rLszj57s2tZplF4gm9P,0.808,101.036,0.0632,0.0855,0.195,1.0,209440.0,4.0,-4.445,0.692,1,0.954,0.0,spotify:track:535rLszj57s2tZplF4gm9P,First Generation
10,how it go,one way,1l6mEeC3BXWK102B3P5xoo,0.877,109.059,0.0641,0.133,0.0987,5.0,190120.0,4.0,-5.316,0.857,0,0.85,0.0,spotify:track:1l6mEeC3BXWK102B3P5xoo,First Generation
11,outro (hippy to da hoppa),one way,2vJ3KixpVR4dP1or1dQ3gY,0.76,98.035,0.0554,0.111,0.104,2.0,107320.0,4.0,-6.643,0.526,0,0.883,0.000658,spotify:track:2vJ3KixpVR4dP1or1dQ3gY,First Generation
12,freeflow (intro),once n 4 all,6lNq820MLnu8d42hALXhRQ,0.896,97.087,0.248,0.0189,0.0525,8.0,44760.0,4.0,-5.624,0.711,1,0.855,0.0,spotify:track:6lNq820MLnu8d42hALXhRQ,First Generation
13,uh-oh!,once n 4 all,6BEokLAhGFKpN9UmpgyahH,0.76,91.39,0.104,0.115,0.0388,6.0,209200.0,4.0,-4.755,0.852,1,0.868,0.0,spotify:track:6BEokLAhGFKpN9UmpgyahH,First Generation
14,떠나자,once n 4 all,1e81h9SbS4P7oHV8Ofr1Mv,0.587,88.022,0.121,0.212,0.119,9.0,225907.0,4.0,-4.936,0.695,0,0.75,0.0,spotify:track:1e81h9SbS4P7oHV8Ofr1Mv,First Generation
15,hot,once n 4 all,1IkdRtsgZCtWIekX8NrLdN,0.954,97.995,0.0881,0.155,0.0999,7.0,218333.0,4.0,-5.45,0.61,1,0.884,0.0,spotify:track:1IkdRtsgZCtWIekX8NrLdN,First Generation
16,without you,once n 4 all,3bSLU0vJe54wU55zIPbl5F,0.763,134.002,0.04,0.522,0.131,2.0,278733.0,4.0,-5.897,0.644,1,0.786,0.0,spotify:track:3bSLU0vJe54wU55zIPbl5F,First Generation
17,cry,once n 4 all,74ZGq4yavB7rdjIlcup9M8,0.802,88.026,0.203,0.177,0.179,10.0,241693.0,4.0,-3.74,0.592,1,0.796,0.0,spotify:track:74ZGq4yavB7rdjIlcup9M8,First Generation
18,danny's interlude,once n 4 all,0zGdqtPuOk38WUMRTBmAKm,0.788,102.993,0.0501,0.0976,0.102,9.0,46840.0,4.0,-5.03,0.483,0,0.848,0.0,spotify:track:0zGdqtPuOk38WUMRTBmAKm,First Generation
19,everyday and night,once n 4 all,6uOsimRLfVFedpIw0oEnDI,0.722,95.003,0.054,0.0709,0.239,9.0,213960.0,4.0,-3.984,0.714,0,0.782,0.0,spotify:track:6uOsimRLfVFedpIw0oEnDI,First Generation
20,kiss me,once n 4 all,47WQe35NObOZSTdrki5ZMp,0.968,204.008,0.101,0.0651,0.109,6.0,257800.0,4.0,-4.375,0.623,1,0.77,0.0,spotify:track:47WQe35NObOZSTdrki5ZMp,First Generation
21,it's over,once n 4 all,3zRujooKxLV8izMyacxT1M,0.692,120.021,0.0576,0.124,0.325,1.0,195467.0,4.0,-7.275,0.575,0,0.854,0.0,spotify:track:3zRujooKxLV8izMyacxT1M,First Generation
22,teddy's interlude,once n 4 all,7hRXNdJDQyH6VNtFv3ALfB,0.691,98.989,0.209,0.2,0.139,7.0,60707.0,4.0,-6.761,0.611,1,0.82,0.0,spotify:track:7hRXNdJDQyH6VNtFv3ALfB,First Generation
23,ok,once n 4 all,17lueQSpFiWQ9qzeHZeu1z,0.393,99.971,0.135,0.00257,0.0899,1.0,175533.0,4.0,-4.618,0.699,1,0.832,0.0,spotify:track:17lueQSpFiWQ9qzeHZeu1z,First Generation
24,put' em up,once n 4 all,1tlJPpXRNe2wfRR8bROLJ5,0.602,93.979,0.15,0.0625,0.12,5.0,185893.0,4.0,-5.096,0.707,0,0.71,0.0,spotify:track:1tlJPpXRNe2wfRR8bROLJ5,First Generation
25,nasty,third time fo yo‘ mind!!,3l4e1ducbJ55li1eJYe2KA,0.813,93.032,0.0505,0.108,0.0645,8.0,221867.0,4.0,-4.961,0.819,0,0.846,0.0,spotify:track:3l4e1ducbJ55li1eJYe2KA,First Generation
26,hello!?,third time fo yo‘ mind!!,2MGgUk5yk2cNjBg3zEFnZQ,0.863,96.988,0.0678,0.0615,0.265,1.0,203733.0,4.0,-4.906,0.711,1,0.891,0.0,spotify:track:2MGgUk5yk2cNjBg3zEFnZQ,First Generation
27,woo-wah,third time fo yo‘ mind!!,0I6cueevUfzNEcfMGvcakn,0.936,93.029,0.0403,0.0402,0.094,11.0,258160.0,4.0,-6.41,0.671,1,0.852,0.0,spotify:track:0I6cueevUfzNEcfMGvcakn,First Generation
